,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
432,株式会社ヘヤミセ | 《 設立以来継続して増収中 》＼ 新店舗社員募集中！／,不動産賃貸店舗のカウンター業務からスタートし、不動産の知識を身につけながら成長できます　※未経験の方にも丁寧に指導します！,【未経験者・第二新卒歓迎】　★要普免（AT限定可）　★学歴、資格、性別、不問。人柄重視の採用です！【賞与で評価！高額支給多数！】,＼ UIターン歓迎・マイカー通勤要相談・転勤なし ／ 【新店舗募集】※既存店舗含む ・新店舗（長崎…,月給20万円〜 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇します。…,250万円～400万円
433,株式会社富士鳩急送 | ◆賞与年2回◆転勤なし！月収40万円も可能です！！,☆主に小麦粉または大麦のルート配送　※日帰り可　※入社後は先輩が同乗して、丁寧にお教えします！,◎大型免許必須　◎年齢不問　経験がなくても、やる気があれば大丈夫！　※入社後、玉掛けやクレーン・フォークリフトの資格取得支援制度あり！,＼転勤なし／＼U・Iターン歓迎／ 福岡県うきは市吉井町339-1 ◆車通勤OK（無料駐車場あり）,月給25万円〜37万円（一律諸手当含む） ＜収入例＞ ★大型トラック／月収35万円／年収450万円,
434,MIGホールディングス株式会社,《定年ナシ＆働き方も自由！》人が集まる場所限定！人気店のスイーツやパンを駅ナカ・商業施設で限定販売★開業前最長2ヶ月間の手厚い研修あり★,◎学歴・経験・性別不問←未経験から月収100万円越えを果たす先輩も続出中！,全国の開業希望エリア ※全国3000店舗の展開を目指しています！,<売上：1日平均17万円、月間442万円> 関東 横田商店、MURATA ▲商品仕入：331万5000 円 ▲人件費：7万200…,
435,株式会社リンクス | 未経験OK！事業拡大のため積極採用中！,「エコレンジャー」のスタッフとして、遺品の整理から、リサイクル品の回収など、お客様の様々なお悩みやお困りごとを解決しましょう！,【学歴・経験不問】要普通免許／やる気重視の人柄採用！ジョブチェンジ・経験者も歓迎！,■車・原付通勤可能！埼玉支部での勤務となります。 ＜埼玉支部＞ 埼玉県川口市大字里986-1 埼玉…,◆月給30万円以上＋歩合給 ※45時間分・8万円以上の固定残業代が含まれています。 ※固定残業代を超える…,350万円～450万円
436,株式会社ライフスタイル | 履歴書不要★入社祝い金10万円！レンタル車両あり★未経験歓迎,《普通免許のみでOK！直行直帰でお休みも自由 》世界的有名な通販サイトから受託したショップの商品を企業様などへの配送をお任せ！ノルマ一切なし！,★経験・学齢・年齢不問★応募資格は普通免許のみ/ 稼ぎたい方/フリーな働き方をしたい方◆問い合わせだけでもOK（080-6673-5000）◆書類選考なし,■原則自由/直行直帰OK/社宅完備 配送先エリアは、関東全域！ 希望エリアでの配送をお任せします☆…,＜選べる給与形態！＞前払い制度あり◎ガソリンカード付き！ ■軽車両ドライバー 完全出来高制（1個あた…,350万円～1500万円
437,株式会社サンモト | ＼ 転勤なし！高収入も目指せる！／ あなたは安定派？稼ぐ派？,【既存のお客様メイン】帽子やバッグ、アクセサリーなどレディース向けの服飾関連商品を量販店やスーパーなどの問屋や卸売業者へご案内します,【未経験歓迎！学歴/年齢/男女不問！人柄・意欲重視】仕事もプライベートも充実させたい方は必見。何でも言い合える職場で働こう！※女性社員も活躍中,※転勤なし！ ※最大限希望を考慮します！ 本社(北九州)、東京、大阪、福岡のいずれかに配属。 【本…,月給／20万円〜35万円 ＋ インセンティブ ＋ 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、…,
438,ＹＵＵ・ｃｏｒｐ．株式会社 | 【入社祝い金として”30万円”支給！】大阪府緊急雇用対策に賛同,工事がスムーズに進むためのスケジュール調整や予算管理など、工事全体の管理業務をお任せします。未経験の方は、まずは先輩同行からスタートします。,【未経験・正社員デビュー＆第二新卒の方もOK！】◎学歴・経験不問　◎要普通免許（AT限定可）★早期入社OK！すぐに仕事を始めたい方もぜひ！,【転勤なし！】 ◆大阪府大阪市中央区島町1-1-1 島町ビル2-B ＜アクセス＞ 京阪・地下鉄「天…,月給21万〜25万円＋歩合＋諸手当＋賞与 ※経験・能力を考慮の上、当社規定により決定いたします,
439,田中通信工業株式会社 | <業績好調＆需要拡大> 時代を支える「情報通信」に関わる仕事！,【既存顧客中心】香川エリアのお客様(企業/学校/病院/介護施設など)に、改善要望を聞き商品やサービスをわかりやすくご紹介※個人ノルマ＆飛込みなし,【育成前提の採用】◆未経験・第二新卒歓迎 ◆学歴・職歴不問 ◆要普通免許（AT限定可）※会社の費用負担で営業でも「電気工事士」などの資格取得OK！,【社用車通勤、マイカー通勤OK！転勤なし！】 本社／香川県綾歌郡宇多津町3516番地1号,■月給 20万円〜25万円 ※年齢、経験、能力を考慮の上、優遇いたします ※試用期間3ヶ月（待遇変化なし…,
440,株式会社トラスト | 需要の絶えない事業｜高収入も目指せる＜平均月収60万～80万円＞,【提携先は誰もが知る一部上場企業！豊富な仕事量が自慢】お客様宅を訪問し、エアコンなどの取り付けを担当。★研修や講習など、サポート体制抜群★,【休日＆勤務時間は自由】◇未経験者歓迎（35歳までの方）◇要普通自動車免許 ◇学歴不問 ※電気工事の経験や電気工事士の資格があれば活かせます！,【全国で募集！自宅⇔お客様宅の直行直帰です】 〜募集強化エリア〜 関西エリア：大阪府、兵庫県、奈良…,完全出来高制（1件につき平均6000円〜15000円） 【月収例】 売上92万円（35歳、経験2年） 売上166万円（…,
441,株式会社ウメケン | 電話問合せも歓迎！【092-609-9595】まで気軽にご連絡ください！,■安全設備工事や資材発注、スタッフ管理、作業報告の作成など、安全設備工事の管理を担当。アシスタント業務から始めて徐々に成長していけます,＜応募者全員面接！経験・学歴・年齢すべて不問＞ ◎要普通免許　★20代の若手が中心に活躍！★頑張りに応じてスピーディーに昇給！50万円超も可能,福岡県糟屋郡粕屋町戸原西１-10-23（JR「伊賀駅」近く） ◎マイカー通勤OK ◎UIターン歓迎…,"月給／25万円〜50万円 ＋ 諸手当 ※経験により優遇します 【モデル月収】 375,000円／経験5年 ※頑張り…",
442,株式会社KEnKI | 発電所やポンプ場に機械器具を運搬・設置し街づくりをサポート,重機や特殊機械を使い、重量物の搬入・搬出から、設置や運搬をする業務です◆日本通運のパートナーとして盤石の経営基盤◆残業月平均20時間以下,◎未経験歓迎！◎学歴不問 人物重視の採用◎要普免★月収45万円以上も可能！頑張った分しっかり稼げる★資格取得支援制度あり,《転勤なし/Uターン・Iターン歓迎！/マイカー通勤可（駐車場完備）》 新潟県新潟市中央区山二ツ4丁…,"日給月給制：194,400円〜259,200円+各種手当 ★スキルを身につければ月収45万円以上目指すことも可能！ …",
443,株式会社サンガアソシエイツ | 【さいとう税理士法人グループ】◆年休120日以上,"【お客様の頼れるパートナー】税務からライフプランの作成などのFPサービスまで幅広い業務の中から、あなたの""得意""をメインにご活躍いただけます！",《会計事務所・税理士事務所での勤務経験のある方をお待ちしています！》◆年齢不問 ◆短大・専門卒以上 ★資産税・相続税案件にも携われます！,【転勤なし】 東京都大田区南雪谷2-20-3 ※東急池上線「雪ヶ谷大塚駅」徒歩5分 ※東急バス「田…,月給25万3000円〜60万円（固定残業手当4万4500円〜10万円／30時間相当分含む、超過分は追加支給します） …,300万円～1000万円
444,リスロン株式会社 | 【面接保証！ご応募いただいた全員の方と面接します！】転勤なし,商業施設や工場、運送自動車会社など幅広い顧客の要望を叶えて収入につなげます。,【学歴・年齢・性別・資格、経験、すべて不問！】◆やる気・コミュニケーション力などの人物重視の採用◇営業経験、接客経験があれば活かせます,《原則自由》 ＜静岡支店＞ 静岡県静岡市駿河区敷地2丁目23番21号 054-237-2411 ＜…,"完全歩合制／成約1件あたり5,000〜20,000円 フルコミッション制の報酬体系です。 地道でコツコツでもハイ…",400万円～750万円
445,郡司建設株式会社 | 年収850万円も可能！前職給与を最大限考慮,＜幅広い案件に触れ、建築の知識が深まる！＞住宅から店舗、工場、学校などの建築工事の管理業務をお任せします。,＜建築士もしくは、建築施工管理技士の資格保有者＞・高卒以上 ・要普免（AT限定可）※更に上の資格にチャレンジしたいという方も応援します！,茨城県土浦市右籾2775-3 ※マイカー通勤可／転勤ナシ,月給30万円〜40万円 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月（その間の給…,420万円～600万円
446,リコーテック株式会社 | ＼女性のおしごと掲載中♪／★転勤ナシ★昼食手当・職能手当あり,【産業機械等の提案営業】産業機械・周辺機器等を取引先の要望をヒアリングし、ニーズに沿った最適な製品を提案します。,《男女不問、未経験歓迎！》◎異業種出身の先輩も活躍中！◎要普通免許◎あなたの好奇心と稼ぎたい想いを満たせる職場です。,◆転勤なし ◆U・Iターン歓迎 愛知県春日井市瑞穂通８丁目２３−１,【 月給21〜60万円 】 ※経験・スキル・年齢を考慮して、当社規定により決定いたします。 ※上記月給に…,252万円～1200万円
447,株式会社城西自動車学校 | ＜利便性◎＞愛媛県を代表する、中心部に位置する好立地の教習場,【転勤、セールス、ノルマなど一切なし！／充実の資格取得支援あり！】自動車教習指導に関する業務全般お任せします（学科・実技など）,【年齢・経験不問】■普通自動車運転免許(AT限定可)■人柄重視の採用です！「教える」ことに興味のある方、大歓迎！,【転勤なし／U・Iターン歓迎／マイカー通勤可（駐車場あり）】 〒791-8015　愛媛県松山市中央…,"【月給】 140,000円 〜 400,000円　＋　諸手当 ※上記の下限値はあくまで最低保証額です。 　経験・資格…",
448,有限会社朝日新聞末津新聞舗 | ASA東久留米駅前【面接1回】バイク貸与/社員寮完備/地域密着◎,日本トップクラスのシェアをもつ朝日新聞で新聞販売の全般業務をお任せ『正確な情報を、より多くの人々にお届けする』やりがいの大きいお仕事です。,【寮・住宅手当あり！普段使いOKなバイク貸与】 経験・学歴は一切不問！《人柄重視の採用》研修あり◎ 好環境と安定した収入が魅力です！◆要原付免許,※駅チカ好立地※寮なら通勤1分※マイカー・バイク通勤もOK！ 朝日新聞サービスアンカー ASA東久…,"月給280,000円〜380,000円+インセンティブ+各種手当 【年収600万円⇒現実的に目指せます】 ※年齢・経…",300万円～500万円
449,大庭社会保険労務士事務所 | ヽ＼30代の若手社員が多数活躍中/／※大阪府緊急雇用対策に賛同,【神戸市勤務】平均年齢31歳！既存顧客のフォロー・顧客管理業務【未経験◎】,未経験OK 【35歳未満の若年者を募集・採用します。※若年層の長期キャリア形成を図るため】,兵庫県神戸市中央区磯上通４−１−３２ロイヤル磯上407号（最寄駅：三宮駅） ※転勤はありません ※…,"月給245,000円〜（※想定年収3,000,000円〜） 上記給与＋インセンティブ （お客様から成功報酬をいただき…",350万円～1000万円
450,株式会社REAL | ★知名度抜群のケーブルテレビを扱う会社★,【 一宮市内のお客様宅に向けたケーブルテレビの紹介 】以前、使ってたよ！―――なんてお客様も多いから、とにかくPR⇒契約までの確率が高い！,【 40歳以下の方★業界未経験OK 】未経験でも大丈夫！―――スキルと経験を身につけて、次は高収入を手に入れませんか？,【 原則自由★担当エリアは一宮市内 】 ▼当社事業所 愛知県一宮市泉3丁目1−18 末廣ビル202…,完全歩合制 成約1本につき3万円を支給。 件数によっては、追加報酬があります。 ★他のスタッフたちは、…,400万円～900万円
451,野間ガスサービス株式会社 | 【設立50周年】＊決算賞与は21年連続で支給しています＊,＜会社全額負担で国家資格が取れます＞大阪ガス様からの依頼を受け、【家庭用ガス機器の設置】or【業務用ガス空調のメンテナンス】。技術力もアップ！,＜未経験・第二新卒歓迎＞◆学歴不問 ◆35歳まで（※）◆要普免（AT限定可）★家族、皆勤、資格など諸手当充実！有休取りやすくメリハリは抜群です。,＜転勤なし／希望や居住地を考慮して配属します＞ 京都市・長岡京市・高槻市のいずれか事業所に配属しま…,"月給20万円以上 【月給例：月給23万5,000円／25歳／1年目】 ※年齢、経験、能力を考慮の上、優遇します…",300万円～400万円
452,アイデックス株式会社 | ★新宿駅でアクセス抜群！医療×不動産で成長を続ける安定企業,【土日祝休み／残業月20H以内】不動産の営業事務として、資料作成、お客様や銀行との調整（メール/電話）、顧客データ管理などをお任せします。,【不動産業界に興味をお持ちの方】★不動産業界で何らかの経験をお持ちなら、知識・スキルを活かせます！◆大卒以上◆PCスキル（Excel）,★転勤はありません。 東京都新宿区西新宿3-7-1 新宿パークタワー20階 ＜交通アクセス＞ JR…,月給21万円以上 + 賞与（年2回） ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間6ヶ月（期…,330万円～430万円
453,長田広告株式会社 | 屋外広告マーケットシェアNo.1★全国73拠点・安定の無借金経営,[どんな場所で]・[どう魅せるか]…企画から携わる「広告プランナー」として、様々なクラアントに屋外広告・デジタルサイネージ・交通広告などを提案！,≪第二新卒特別特集参画中≫【未経験歓迎】★20代・30代の育成実績多数！ ★営業経験も広告業界の経験も不要！ ※高卒以上 ※運転免許(AT限定可),【群馬県（前橋市）・栃木県（佐野市・宇都宮市）・茨城県（水戸市）のいずれかで勤務】※お住まいや希望…,"【月給】21万4,280円以上＋諸手当＋成績手当（歩合） ※あなたの年齢・能力等を考慮して決定します。 ※…",300万円～500万円
454,株式会社フリックス | 普免のみでOK/シフトは希望考慮・休みも自由/9割以上が未経験★,【自分のペースで働ける】大手運送会社から受託したネット通販の商品を個人宅・企業へ配送★小さくて軽い荷物中心/狭いエリアの配送で効率的/日額保障,【全員面接／未経験者歓迎】◇必要なのは普免(AT可)のみ！学歴・経歴・年齢不問 ◇リース車有 ★【自由な働き方】「稼ぐ」「休む」⇒全てあなた次第,直行直帰ＯＫ！ 【配送エリア】 東京都日野市・東京都八王子市・東京都多摩市・東京都立川市・東京都昭…,"完全出来高制（単価180円〜×個数） 【月収例】 月150〜160個×単価180円×26日勤務 ＝月収70万2,000円…",500万円～1000万円
455,"富士防災警備株式会社 | FUJI DR SECURITY Co. ,LTD.　◆月8～9日休み ◆退職金制度あり",■外資系オフィスやデータセンター、大使館での出入チェックや館内の巡回、モニターでの監視業務など,経験不問、未経験者大歓迎　◇日常英会話ができる方、英語を使った仕事の経験や留学経験のある方は大歓迎。20～60代まで幅広い年齢の方が活躍中！,【東京都】港区、千代田区（大手町、神谷町、広尾） 【神奈川県】横浜市港北区、川崎市宮前区 【千葉県…,"月給280,000〜350,000円＋各種手当 ※年齢や経験、能力等を考慮して、当社規定により優遇致します。 ※…",
456,"株式会社ケミックス | ★顧客は全国に2,500社以上 ★TEL問い合わせOK！→ 0480-90-2811",【長距離・夜勤なし/既存顧客へのルート配送】固定シフトで働けるから、生活リズムも整う！積み下ろしは全てフォークリフトを使用＝体への負担なし,《賞与年2回》【高卒以上/経験不問/年齢不問】◎要普免(※Ｈ19年6月以前に普通免許を取得した方) ★ブランクのある方、ドライバー未経験の方も歓迎！,≪転勤なし／U・Iターン歓迎／マイカー通勤可≫ ★本社：埼玉県白岡市荒井新田371-9,"【月給】212,000円〜 《月収モデル》 月収33万円／月給21万円＋30時間分の残業代＋各種手当 ※上記に加え…",300万円～400万円
457,株式会社現代構造 | 【賞与で200万円の支給実績あり】※大阪府緊急雇用対策に賛同,◆手がけるのは、誰もが知る有名リゾートホテル、テーマパーク、複合施設などの構造設計 ◆幹部候補として採用！事務所の次代を担う存在として活躍を,【応募条件】設計の経験をお持ちの方（設計事務所での経験者は優遇！経験が浅い方もOK）◆二級建築士以上の資格をお持ちなら給与をしっかり優遇！,【転勤なし／「心斎橋」駅 スグの好立地！】 大阪府大阪市中央区南船場3丁目7-32-302 ◎U・…,【設計経験者】 月給35万円〜+諸手当+賞与(年2回) 【一級建築士をお持ちの方】 月給60万円〜+諸手当+賞…,400万円～700万円
458,新中央航空株式会社 | ＜創業43年。伊豆諸島の島民のくらしを支える航空会社です！＞,《残業月平均30h程度！》既存顧客の対応から営業企画立案、飛行場の運営・管理など、幅広くお任せしていきます。◆研修体制◎出来る業務からスタート,《未経験・第二新卒歓迎！》年齢不問！高卒以上/要普免(AT限定可)/年齢不問、基本的なPCスキル(Excel・Word),本社・竜ヶ崎飛行場／茨城県龍ケ崎市半田町3177 ※千葉から通勤しやすい立地！ ※マイカー通勤OK…,月給：19万円〜＋各種手当+賞与年2回 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3…,350万円～500万円
459,ケミックス東海株式会社 | 金属の塗装剥離で業界トップクラス★福利厚生充実＋多数手当付き,【塗装された金属の剥離作業をお任せ！】剥離（ハクリ）とは塗料を剥がし塗装する前の状態に戻す作業のこと★半年の研修で無理なく成長を！,【学歴・年齢・経験一切不問】未経験からしっかり稼ぎたい方歓迎！異業種からの転職者多数活躍中！★知識・経験よりも当社は人柄を重視しております！,【転勤なし】【マイカー通勤OK】 静岡県掛川市細田440-1 ＜Point＞ 社員のほとんどが車通…,月給33万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※上記には現場手当て（一律支給）…,400万円～500万円
460,株式会社NEXT STORIES | 【大阪府緊急雇用対策に賛同】■選べる働き方■祝い金・手当充実,採用（主に中途採用）における面接業務や内定・入社後フォロー、媒体選定、求職者に対するアプローチ方法の選出などの業務に携わっていただきます。,【未経験者歓迎】■基本的には人物重視の採用です！■人材業界の経験者または何かしらの営業経験者は優遇！,■大阪本社 大阪府大阪市北区同心1-1-26 ブリリアントタワー8階 ※転勤なし ※U・Iターン歓迎,月給25万円以上+賞与（年2回） ※能力や経験などを考慮して優遇します。,350万円～500万円
461,三和ペイント沖縄株式会社 | 残業は月10時間程度＆朝もゆっくり10時出社！余暇も楽しめます♪,お客様のお悩みをヒアリングし、長く安心して暮らせる住宅づくりを行っていただきます。※成果は正当に評価します◎,ほとんどの社員が経験ゼロからスタート！未経験者・第二新卒者もご応募ください。 ◎運転免許（ AT限定可 ）◎学歴不問 ★充実の研修制度をご用意！,沖縄県内に展開している 以下いずれかの拠点に配属いたします。 ※マイカー通勤OK ※U・Iターン歓…,"月給18万円〜55万円 ＋ インセンティブ ※固定残業代40,000円以上(25時間分)含む。 　超過分は別途支給…",
462,株式会社アイ・ビル・サービス | 創業30年の安定とますます成長する企業！残業ほぼナシ！転勤ナシ,ビルやマンションの管理会社・オーナー様へ当社の建物総合管理のサービスをご説明する営業★経験を活かしてポストと収入をアップできるチャンス！,＼人物重視の採用！／営業経験あれば業界不問！要普通自動車免許◆簡単なPCスキル（Excel・Word 等◆幅広い方と円滑なコミュニケーションが取れる方,神奈川県川崎市中原区新丸子東2-976-4　NKビル４F （武蔵小杉駅徒歩6分、新丸子駅徒歩2分）,月給30万円〜50万円 ※顧客の売上に応じたインセンティブ支給！高収入が可能！ ※経験など考慮の上、面接…,380万円～650万円
463,日進陸運株式会社 | ★愛知県からスグ★電話での問い合わせもOK 0567-66-2510,＼2人1組で作業！分解できるから運びやすい／ソファやベッドなどの家具配送。★！毎日家に帰れるのが魅力！★東海エリア内,＼アシスタントからのスタートもOK！／きちんと挨拶ができればOK！家族のために安定収入を得たい方、今の環境を変えたい！という方、大歓迎です！！,＼愛知県・岐阜県からも30分圏内／ ★車通勤OK（駐車場完備） 【三重県桑名郡木曽岬町加路戸600…,月給25万円〜45万円＋各種手当 ※年齢、経験、能力を考慮のうえ決定します。 ※上記月給にはみなし残業代…,320万円～440万円
464,丸富運輸有限会社 | 免許取得は入社後でOK/社員寮有/ローソン部積極採用/電話問合OK,【固定ルートメイン！1人１台専用車を支給】大型・中型・トレーラーなどでの配送業務。★日曜休みの週休2日制！希望休もOK！だからプライベートも充実,＜未経験OK＞＜経験者は即戦力採用＞■年齢不問 ◎挨拶ができる方 【中型免許・準中型免許をお持ちの方はさらに優遇！】★年収700万円も可能！,＜転勤なし！＞ 静岡県富士市・山形県南陽市・埼玉県入間市のいずれかの拠点に所属していただきます。…,■大型／月給35万〜40万円 ■中型／月給25万〜34万円 ■トレーラー／月給32万〜35万円 ※いずれも試用期…,400万円～700万円
465,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＜ 神奈川県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい,＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな神奈川県で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！,◆横浜・川崎・相模原・平塚・藤沢・小田原・茅ヶ崎・大和市の各拠点 ※自宅近くの拠点での勤務希望を考…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
466,三ツ矢鉄工株式会社 | 【紙管製造機メーカー／転勤なし！】大阪府緊急雇用対策に賛同,【国内シェアトップクラス】◆紙管製造機をはじめ、産業機械の電機設計・試運転のチェックをお任せします ◆イチから事業部をつくる面白さ！,【学歴不問／経験者募集】◆産業・医療・食品機械、いずれかに携わった経験 ◆シーケンス制御の設計 ◆モーター制御の経験 ◆電機設計の経験,【転勤なし／自転車通勤OK！】 大阪府大阪市淀川区田川北3-6-5 ◎JR「塚本駅」から徒歩約15…,月給25万円〜35万円＋諸手当＋賞与年2回 ※経験・能力・年齢を考慮の上、当社規定により決定いたします …,
467,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,▼使っていない土地の活用方法で悩んでいる地域のお客様を訪問して、アパートや賃貸マンションの経営などを提案します。,＜ 業界・営業未経験者歓迎 ＞▼高卒以上／要普免 ▼『大好きな関西で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！,◆関西エリアの各拠点 自宅近くの拠点での勤務希望を考慮します。 ※Ｉ＆Ｕターン歓迎！ ※各事業所の…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
468,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＜ 北関東でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい,＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな北関東で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！,◆茨城県、栃木県、群馬県の各営業所 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎！ ※各…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
469,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＜ 千葉県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい,＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな千葉県で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！,◆千葉・船橋・木更津・松戸・成田・流山・八千代・鎌ケ谷の各拠点 ※自宅近くの拠点での勤務希望を考慮…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
470,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＜ 中四国でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい,＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな中四国で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！,■中四国の各営業所 ※自宅近くの拠点での勤務希望を考慮 ※Ｉ＆Ｕターン歓迎！ ※各事業所の詳しい住…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
471,三ツ矢鉄工株式会社 | 【紙管製造機メーカー／転勤なし！】大阪府緊急雇用対策に賛同,【国内シェアトップクラス】◆自社製品である紙管製造機をはじめ、産業機械の設計をお任せします ◆あなたの経験・知識を活かし裁量大きく設計できる,【学歴不問／経験者募集】◆CADによる設計 ◆産業・医療・食品機械いずれかに携わった経験 ★技術・知識を評価！入社2年で月収2倍以上の先輩も！,【転勤なし／自転車通勤OK！】 大阪府大阪市淀川区田川北3-6-5 └ JR「塚本駅」から徒歩約1…,月給25万円〜35万円＋諸手当＋賞与年2回 ※経験・能力・年齢を考慮の上、当社規定により決定いたします …,
472,東建コーポレーション株式会社 | ■エリア勤務でも高収入！■上場企業で安心の将来を,＜ 愛知県でニーズ増加中 ＞■地域のお客さまへの土地活用の提案を行います ■充実の研修・教育体制あり！上司のフォローも手厚いので始めやすい,＜ 業界・営業未経験者歓迎 ＞■高卒以上／要普免 ■『大好きな愛知県で働きたい！』『営業・正社員デビューしてみたい！』などの方歓迎します！,■名古屋・豊橋・岡崎・一宮・春日井・刈谷・豊田・東海・長久手・海部郡蟹江町の各営業所 ※自宅近くの…,"月給26万3,000円以上＋諸手当＋業績連動成果給 ※月給は、固定残業代【47時間分（6万9,000円以上）】を含…",400万円～800万円
473,株式会社マーキュリー | 入社祝い金10万円支給！ブランド・古物の専門家／九州実績拡大中,【コロナ禍でも業績好調！】【原則定時の19時退社！】宝飾品やブランド品、金券などを扱う買取店で、査定・買取などをお任せします！,【未経験歓迎】【月8日休み】【インセンティブ有】学歴・経験・資格不問　先輩スタッフからの充実のサポート体制＆研修制度あり！,＼ マイカー通勤OK・転勤なし ／ ※勤務地は希望を考慮します。 【本社】 福岡県大野城市栄町3-…,月給25万円〜+インセンティブ ※上記はあくまで最低保証額です。 ※年齢、経験、能力を考慮の上、優遇し…,500万円
474,株式会社福コンサルタント | 土日祝休み／住宅手当／残業なし／高収入／面接1回／副業可,【頑張りを還元】「公共工事の施工管理」「公共施設の点検管理」　を経験やスキルに応じて得意なことからお任せします。★有資格者＆経験者の定着率高,【40～50代など幅広い世代が活躍中】◆応募条件／「土木施工管理技士」「建築士」「建築施工管理技士」「電気工事施工管理技士」いずれかの有資格者,関東、関西、中国、四国、九州、東海、北陸、東北など日本全国の各現場事務所 ※勤務地は希望を考慮して…,▼「各種1級施工管理技士」or「1級建築士」有資格者の場合 年俸600万円〜750万円 ＜月収例＞ 月収50万円…,540万円～800万円
475,株式会社ケー・イー・シー | ■月収例・36万円(入社半年)■社宅・引越し補助有■遠方応募可,【家族や友人に自慢できる仕事】基本的な業務は屋内。 管理室でのモニタ―のチェックと機械の操作などをお任せ｜焼却炉の安定稼働を見守る存在です！,【未経験歓迎｜高卒以上｜要普免｜40歳迄※】『入社時は普通免許だけ』の未経験者が大半！安定して高収入が目指せます★,【転勤なし／UIターン歓迎(社宅有)／車通勤OK】 三重県桑名市福岡町473-7 ［アクセス］ ・…,月給20万円〜26万4500円＋別途時間外手当支給 ＜月収例＞ 月収36万円（入社半年・37歳） →月給25万円＋…,300万円～500万円
476,梅田運輸倉庫株式会社 | 大阪府緊急雇用対策に賛同｜設立72年！物流業界の老舗企業！,単車ローリー車による大手アルコール飲料メーカーの工場間を中心とした中・長距離輸送業務をお任せします。,★学歴・年齢不問！　◆大型免許をお持ちの方　◆危険物取扱者乙4種をお持ちの方,【津守営業所】 大阪府大阪市東成区南津守2-3-2 ※マイカー・バイク・自転車通勤可能！,月給16万6900円以上+歩合+各種手当 【平均月収33万円以上も可能！】 ※経験・能力を考慮の上決定致します…,450万円～500万円
477,ミナミ電工株式会社 | ★家族を大切に！毎年9日間以上の連休休暇など制度を充実中！,☆大型マンションや商業施設・大手企業の工場などの電気工事に関わる適性に応じた業務をお任せします。☆国家資格の取得も会社が応援！,【未経験者大歓迎！ポテンシャル重視の採用】■高卒以上■要普免■未経験者は30歳迄※★未経験者も充実のサポート！ベテラン社員が丁寧に指導します！,【姫路〜神戸までの現場が中心】 兵庫県姫路市中地66-1 本庄ビル2階 《アクセス》 JR姫路駅か…,未経験者：月給24万円〜 経験者：月給28万円〜 ★加えて昨年度は＼＼ 賞与平均6.5ヶ月分 ／／支給！ ※…,350万円～500万円
